,id,district,division,bureau
850,851,5D,5D,PSB
851,852,6D,6D,PSB
852,853,3D,3D,PSB
853,854,4D,4D,PSB
854,855,4D,4D,PSB
855,856,6D,,
856,857,6D,6D,PSB
857,858,3D,3D,PSB
858,859,4D,4D,PSB
859,860,4D,4D,PSB
860,861,4D,4D,PSB
861,862,6D,,
862,863,1D,RPD,
863,864,2D,2D,PSB
864,865,2D,2D,PSB
865,866,1D,1D,PSB
866,867,4D,MCSO,
867,868,3D,3D,PSB
868,869,8D,TP,
869,870,4D,4D,PSB
870,871,4D,4D,PSB
871,872,3D,3D,PSB
872,873,2D,2D,PSB
873,874,5D,5D,PSB
874,875,5D,5D,PSB
875,876,6D,GPD,
876,877,6D,6D,PSB
877,878,3D,3D,PSB
878,879,1D,CED,FSB
879,880,8D,,
880,881,3D,3D,PSB
881,882,8D,TP,
882,883,3D,3D,PSB
883,884,4D,4D,PSB
884,885,1D,1D,PSB
885,886,4D,4D,PSB
886,887,3D,3D,PSB
887,888,3D,3D,PSB
888,889,5D,5D,PSB
889,890,6D,,
890,891,6D,6D,PSB
891,892,5D,5D,PSB
892,893,1D,RPD,
893,894,2D,2D,PSB
894,895,6D,MCSO,
895,896,6D,,
896,897,4D,4D,PSB
897,898,6D,MCSO,
898,899,3D,3D,PSB
899,900,5D,5D,PSB
900,901,6D,6D,PSB
901,902,4D,4D,PSB
902,903,1D,MCSO,
903,904,4D,4D,PSB
904,905,1D,RCP,
905,906,3D,3D,PSB
906,907,6D,6D,PSB
907,908,6D,GPD,
908,909,6D,6D,PSB
909,910,5D,5D,PSB
910,911,1D,RCPD,
911,912,4D,4D,PSB
912,913,4D,4D,PSB
913,914,4D,4D,PSB
914,915,6D,,
915,916,5D,5D,PSB
916,917,5D,5D,PSB
917,918,1D,RCPD,
918,919,4D,MCSO,
919,920,1D,RPD,
920,921,4D,4D,PSB
921,922,3D,3D,PSB
922,923,1D,MCSO,
923,924,3D,3D,PSB
924,925,6D,,
925,926,2D,2D,PSB
926,927,6D,MCSO,
927,928,6D,6D,PSB
928,929,2D,2D,PSB
929,930,1D,RPD,
930,931,6D,6D,PSB
931,932,6D,6D,PSB
932,933,6D,6D,PSB
933,934,3D,3D,PSB
934,935,4D,4D,PSB
935,936,4D,4D,PSB
936,937,4D,4D,PSB
937,938,2D,2D,PSB
938,939,1D,1D,PSB
939,940,4D,4D,PSB
940,941,4D,4D,PSB
941,942,6D,,
942,943,6D,6D,PSB
943,944,5D,5D,PSB
944,945,2D,2D,PSB
945,946,2D,5D,PSB
946,947,1D,RCPD,
947,948,5D,5D,PSB
948,949,2D,2D,PSB
949,950,4D,MCSO,
950,951,1D,RPD,
951,952,3D,3D,PSB
952,953,1D,RPD,
953,954,3D,3D,PSB
954,955,3D,3D,PSB
955,956,2D,2D,PSB
956,957,4D,4D,PSB
957,958,5D,5D,PSB
958,959,2D,2D,PSB
959,960,4D,4D,PSB
960,961,4D,4D,PSB
961,962,1D,RCPD,
962,963,5D,5D,PSB
963,964,4D,4D,PSB
964,965,2D,MCSO,
965,966,3D,3D,PSB
966,967,1D,1D,PSB
967,968,2D,2D,PSB
968,969,4D,4D,PSB
969,970,3D,3D,PSB
970,971,4D,4D,PSB
971,972,6D,,
972,973,1D,1D,PSB
973,974,4D,4D,PSB
974,975,5D,5D,PSB
975,976,1D,1D,PSB
976,977,3D,3D,PSB
977,978,3D,3D,PSB
978,979,3D,3D,PSB
979,980,6D,6D,PSB
980,981,1D,,
981,982,3D,3D,PSB
982,983,2D,MCSO,
983,984,4D,4D,PSB
984,985,3D,3D,PSB
985,986,4D,4D,PSB
986,987,1D,,
987,988,3D,3D,PSB
988,989,6D,6D,PSB
989,990,3D,3D,PSB
990,991,1D,RCPD,
991,992,6D,,
992,993,4D,4D,PSB
993,994,3D,MCSO,
994,995,5D,5D,PSB
995,996,4D,4D,PSB
996,997,2D,2D,PSB
997,998,3D,3D,PSB
998,999,3D,3D,PSB
999,1000,4D,4D,PSB
