,id,race,gender,age,ethnicity,district,division,bureau
446,447,White,Female,19,NON-HISPANIC,3,3D,PSB
447,448,White,Female,18,NON-HISPANIC,3,3D,PSB
448,449,White,Male,19,NON-HISPANIC,3,3D,PSB
449,450,White,Female,19,NON-HISPANIC,3,3D,PSB
450,451,White,Male,18,NON-HISPANIC,3,3D,PSB
451,452,White,Female,18,NON-HISPANIC,3,3D,PSB
452,453,Black/African American,Male,19,NON-HISPANIC,3,3D,PSB
453,454,White,Female,19,NON-HISPANIC,3,3D,PSB
454,455,Black/African American,Male,18,NON-HISPANIC,5,5D,PSB
455,456,Black/African American,Male,40,NON-HISPANIC,5,5D,PSB
456,457,White,Male,25,HISPANIC,1,RCPD,
457,458,Black/African American,Male,34,NON-HISPANIC,4,2D,PSB
458,459,Black/African American,Male,30,NON-HISPANIC,4,2D,PSB
459,460,Black/African American,Male,44,NON-HISPANIC,4,2D,PSB
460,461,White,Male,47,HISPANIC,4,4D,PSB
461,462,White,Male,36,HISPANIC,6,6D,PSB
462,463,Black/African American,Female,24,NON-HISPANIC,5,5D,PSB
463,464,Black/African American,Female,22,NON-HISPANIC,5,5D,PSB
464,465,Black/African American,Male,50,NON-HISPANIC,4,4D,PSB
465,466,White,Male,22,HISPANIC,3,3D,PSB
466,467,White,Male,51,HISPANIC,6,6D,PSB
467,468,White,Male,25,HISPANIC,3,3D,PSB
