,fall_term,student_type,student_status,gender,ethnicity,race,attending_germantown,attending_rockville,attending_takoma_park_ss,attend_day_or_evening,mc_program_description,age_group,hs_category,city_in_md,state,zip,county_in_md,mcps_high_school
919,2015,Continuing,Full-Time,Male,Hispanic,Native American,Yes,No,No,Day Only,Computer Science & Technologies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20874,Montgomery,Northwest HS - Germantown
920,2015,Continuing,Full-Time,Male,Not Hispanic,White,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),25 - 29,MCPS,Rockville,MD,20852,Montgomery,Walter Johnson High School
921,2015,Transfer no degree,Full-Time,Male,Hispanic,White,Yes,Yes,No,Day & Evening,Science (AS - All Tracks),20 or Younger,Other State,Germantown,MD,20874,Montgomery,
922,2015,Continuing,Full-Time,Female,Not Hispanic,Black,Yes,Yes,No,Day & Evening,Health Sciences (Pre-Clinical Studies),30 or Older,GED,Germantown,MD,20874,Montgomery,
923,2015,New,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Science (AS - All Tracks),20 or Younger,Other State,Silver Spring,MD,20905,Montgomery,
924,2015,Continuing,Part-Time,Female,Hispanic,White,No,No,Yes,Day Only,Health Sciences (Pre-Clinical Studies),20 or Younger,MCPS,Silver Spring,MD,20904,Montgomery,Sherwood High School
925,2015,Continuing,Part-Time,Male,Not Hispanic,Black,No,Yes,No,Day Only,Health Sciences (Pre-Clinical Studies),30 or Older,Foreign Country,Gaithersburg,MD,20878,Montgomery,
926,2015,Continuing,Full-Time,Female,Not Hispanic,White,Yes,Yes,No,Day Only,Business / International Business (AA),20 or Younger,MCPS,Montgomery Village,MD,20886,Montgomery,Gaithersburg High School
927,2015,Continuing,Part-Time,Male,Not Hispanic,Black,No,Yes,No,Day Only,Computer Science & Technologies (AA - All Tracks),20 or Younger,Other Maryland,Beltsville,MD,20705,Prince George's,
928,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day & Evening,Polysomnography Technology (CT),25 - 29,Foreign Country,Silver Spring,MD,20904,Montgomery,
929,2015,New,Part-Time,Male,Not Hispanic,Black,No,Yes,No,Day Only,Engineering Science (AA & AS - All Tracks),20 or Younger,MCPS,Rockville,MD,20853,Montgomery,Wheaton High School
930,2015,Continuing,Part-Time,Male,Not Hispanic,Black,Yes,No,No,Day & Evening,General Studies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20874,Montgomery,Northwest HS - Germantown
931,2015,Continuing,Part-Time,Male,Not Hispanic,Asian,No,Yes,No,Day Only,Credit (Undeclared / Undecided),25 - 29,Foreign Country,Germantown,MD,20874,Montgomery,
932,2015,New,Full-Time,Male,Not Hispanic,Black,Yes,No,No,Day Only,Business / International Business (AA),20 or Younger,Other State,Germantown,MD,20874,Montgomery,
933,2015,New,Full-Time,Female,Hispanic,White,No,Yes,No,Day Only,Business / International Business (AA),20 or Younger,MCPS,Silver Spring,MD,20902,Montgomery,Albert Einstein HS & MC Art Cn
934,2015,New,Full-Time,Female,Hispanic,White,No,No,Yes,Day & Evening,Health Sciences (Pre-Clinical Studies),20 or Younger,MCPS,Silver Spring,MD,20906,Montgomery,Wheaton High School
935,2015,Continuing,Full-Time,Male,Not Hispanic,Black,Yes,No,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20876,Montgomery,Clarksburg High School
936,2015,Continuing,Full-Time,Male,Not Hispanic,Black,Yes,Yes,No,Day & Evening,Engineering Science (AA & AS - All Tracks),30 or Older,Foreign Country,Gaithersburg,MD,20877,Montgomery,
937,2015,HS Student,Part-Time,Male,Hispanic,Multi-Race,Yes,No,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20874,Montgomery,Northwest HS - Germantown
938,2015,New,Part-Time,Female,Hispanic,Native American,No,No,Yes,Day Only,General Studies (AA - All Tracks),20 or Younger,Other State,Washington,DC,20009,Other,
939,2015,Continuing,Full-Time,Female,Not Hispanic,Black,No,Yes,Yes,Day & Evening,Science (AS - All Tracks),21 - 24,Other State,Takoma Park,MD,20912,Montgomery,
940,2015,Continuing,Full-Time,Female,Not Hispanic,Black,Yes,Yes,Yes,Day & Evening,Paralegal Studies (AA & AAS),25 - 29,Other State,Washington,DC,20012,Other,
941,2015,Continuing,Part-Time,Female,Hispanic,Black,No,No,Yes,Day Only,General Studies (AA - All Tracks),20 or Younger,Other State,Washington,DC,20011,Other,
942,2015,Continuing,Part-Time,Male,Not Hispanic,White,Yes,No,Yes,Day Only,General Studies (AA - All Tracks),21 - 24,MCPS,Rockville,MD,20850,Montgomery,Thomas Sprigg Wootton High Sch
943,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,Yes,Evening Only,Science (AS - All Tracks),30 or Older,Foreign Country,Rockville,MD,20851,Montgomery,
944,2015,Continuing,Full-Time,Female,Not Hispanic,Multi-Race,No,Yes,Yes,Day Only,Education / Teacher Education (AA & AAT),20 or Younger,MCPS,Silver Spring,MD,20910,Montgomery,Bethesda Chevy Chase High Schl
945,2015,Continuing,Part-Time,Male,Not Hispanic,Black,Yes,No,No,Day Only,Business / International Business (AA),21 - 24,MCPS,Germantown,MD,20874,Montgomery,Clarksburg High School
946,2015,New,Full-Time,Female,Hispanic,White,No,Yes,Yes,Day Only,General Studies (AA - All Tracks),21 - 24,GED,Rockville,MD,20850,Montgomery,
947,2015,Continuing,Part-Time,Male,Not Hispanic,Asian,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),21 - 24,MCPS,Derwood,MD,20855,Montgomery,Colonel Zadok Magruder HS
948,2015,Continuing,Part-Time,Female,Unknown,Black,No,No,Yes,No Specific Time[online],Paralegal Studies (AA & AAS),21 - 24,Other State,Washington,DC,20011,Other,
949,2015,Continuing,Full-Time,Female,Hispanic,Hispanic,Yes,Yes,No,Day Only,General Studies (AA - All Tracks),21 - 24,Other State,Rockville,MD,20852,Montgomery,
950,2015,Continuing,Full-Time,Female,Not Hispanic,Asian,Yes,Yes,Yes,Day Only,General Studies (AA - All Tracks),20 or Younger,Mont.County Other,Silver Spring,MD,20901,Montgomery,
951,2015,Continuing,Part-Time,Male,Not Hispanic,Black,No,Yes,Yes,Day Only,Architectural & Construction Tech (AA & AAS),20 or Younger,MCPS,Silver Spring,MD,20904,Montgomery,James Hubert Blake High School
952,2015,New,Part-Time,Male,Hispanic,White,Yes,No,No,Day & Evening,Arts & Sciences Transfer (AA - All Tracks),20 or Younger,MCPS,Gaithersburg,MD,20882,Montgomery,Clarksburg High School
953,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),21 - 24,MCPS,Germantown,MD,20874,Montgomery,Seneca Valley High School
954,2015,Continuing,Full-Time,Female,Not Hispanic,Black,Yes,No,No,Day Only,Health Sciences (Pre-Clinical Studies),20 or Younger,Foreign Country,Clarksburg,MD,20871,Montgomery,
955,2015,New,Part-Time,Male,Not Hispanic,Black,No,Yes,No,Day Only,Education / Teacher Education (AA & AAT),20 or Younger,MCPS,Rockville,MD,20850,Montgomery,Richard Montgomery High School
956,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Business / International Business (AA),20 or Younger,MCPS,Silver Spring,MD,20904,Montgomery,James Hubert Blake High School
957,2015,Continuing,Part-Time,Female,Hispanic,Hispanic,No,No,Yes,Day Only,Science (AS - All Tracks),20 or Younger,Other Maryland,Hyattsville,MD,20783,Prince George's,
958,2015,Continuing,Part-Time,Female,Hispanic,White,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),21 - 24,MCPS,Rockville,MD,20853,Montgomery,Walter Johnson High School
959,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),25 - 29,Other State,Bethesda,MD,20817,Montgomery,
960,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,Yes,Day Only,Business / International Business (AA),20 or Younger,MCPS,Silver Spring,MD,20906,Montgomery,Northwood High School
961,2015,Continuing,Part-Time,Female,Not Hispanic,White,Yes,No,No,Evening Only,General Studies (AA - All Tracks),30 or Older,Other State,Germantown,MD,20876,Montgomery,
962,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),21 - 24,MCPS,Silver Spring,MD,20906,Montgomery,Northwood High School
963,2015,New,Part-Time,Female,Not Hispanic,Asian,No,Yes,No,Day Only,Arts & Sciences Transfer (AA - All Tracks),25 - 29,Foreign Country,Silver Spring,MD,20906,Montgomery,
964,2015,Continuing,Part-Time,Male,Hispanic,White,No,Yes,Yes,No Specific Time[online],Business / International Business (AA),30 or Older,Foreign Country,Washington,DC,20008,Other,
965,2015,Continuing,Full-Time,Female,Not Hispanic,White,Yes,Yes,No,Day Only,Arts & Sciences Transfer (AA - All Tracks),20 or Younger,Other State,Germantown,MD,20874,Montgomery,
966,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,No,Day Only,General Studies (AA - All Tracks),21 - 24,Other State,Rockville,MD,20852,Montgomery,
